Name,Latitude,Longitude,Cuisine,Area,Rating,Reviews,Price,Address,GoogleMapsURL
Shindo Ramen,13.802026999999999,100.31932230000001,Japanese Ramen,Bangkok,4.3,645,฿฿,"65/29 Tambon Salaya, Amphoe Phutthamonthon, Chang Wat Nakhon Pathom 73170, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJY86myZGT4jARM6NVxi4V0B4
SENDO RAMEN,13.7286443,100.53375820000001,Japanese Ramen,Bang Rak,4.4,569,฿฿,"SENDO RAMEN, 4F Thaniya Building, 52 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJlepoPZOf4jAR6BpXAs-dEkw
ก๋วยเตี๋ยวเรืออัศวิน สาขาบรรทัดทอง,13.7433953,100.52311859999999,Noodles,Pathumwan,4.7,452,฿,"989, 991 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJdVWoztef4jARZLV_wRkB6aE
ก๋วยเตี๋ยวเรือศรีอยุธยา (เทเวศร์) Sri Ayutthaya Noodle,13.7704244,100.5061087,Noodles,ดุสิต,4.3,600,฿,"224 Thanon Si Ayutthaya, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJJ1RCj6YxEBERZfi0fOQhxpk
ก๋วยเตี๋ยวเรืออยุธยา รสดั้งเดิม สูตรโบราณ,13.897330700000001,100.58742629999999,Noodles,Don Mueang,4.4,537,฿,"VHWP+WXM, Don Mueang, Bangkok 10210, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJr2BoyOiC4jARETmijn0oZHo
เจ๊พร ก๋วยเตี๋ยวเรืออยุธยา (สูตรต้นตำรับ) Porn The Original Recipe Of The Ayutthaya Boat Noodle,13.841145599999999,100.7013872,Noodles,คลองสามวา,4.9,353,฿฿,"ห้องเลขที่ 1-3 หน้า CJ 244 Thanon Surao Khlong Nueng, บางชัน Khet Khlong Sam Wa, Krung Thep Maha Nakhon 10510, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJb41ZUNpjHTER4U0i1mzlZRg
ก๋วยเตี๋ยวต้มยำ ธิษณา,13.6844979,100.61768029999999,Noodles,พระโขนง,4.8,364,฿,"เลขที่171 Soi Chiam Udom 3, Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJV91sGwCh4jARQLMKL4feOLI
ก๋วยเตี๋ยวเรือร้านลุงประตูน้ำ,13.749186799999999,100.5431045,Noodles,Ratchathewi,4.5,387,฿,"1024, 2 Soi Petchburi 32, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJc1AsjsWe4jAR6lloU6c-JfA
"เกี๊ยวหนองบัว วังหลัง Kiew Nong Bua Wang Lang, Trat Original Egg Noodle & Wonton/ Cafe & Bar",13.7532581,100.4863508,Noodles,Bangkok Noi,4.4,406,฿฿,"264 Trok Wat Rakhang Khwaeng Siriraj, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJl3kuzpSZ4jARqbw2E_mN0BM
สาวเส้น ก๋วยเตี๋ยวต้มยำ บางรัก Zaozen Tomyum Noodle,13.7190748,100.5154293,Noodles,บางรัก,4.8,299,฿,"1483 ถ. เจริญกรุง Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJsYOnguCZ4jARzml-t57gEdA
Ari Noodle,13.780985699999999,100.54443619999999,Noodles,Phaya Thai,4.6,318,฿,"Soi Ari 1, Phaya Thai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJqzy8KQCd4jARm5z4aJ1hLmc
ก๋วยเตี๋ยวเอี่ยมน้อย,13.737805,100.5218422,Noodles,Pathumwan,4.3,385,฿,"1864 Banthat Thong Rd, Khwaeng Rong Muang, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ94RVpimZ4jAR4EW1NTw5nvU
2พี่น้อง ก๋วยเตี๋ยวต้มยำ,13.8129931,100.5963387,Noodles,Lat Phrao,4.4,350,฿,"520 ถนน โชคชัย 4 ซอย 48 หัว มุม แขวง เขต ลาดพร้าว 10230 ซอย ลาดพร้าว ลาดพร้าว ลาดพร้าว Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjar8vKKd4jARPLWCHXsT9qs
นัวโภชนา (ก๋วยเตี๋ยวหมูต้มยำนัว),13.792414899999999,100.54906129999999,Noodles,Phaya Thai,4.3,342,฿,"1511/9 Phahon Yothin Road, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJpSSVcxec4jARFV7ry810u3U
เมืองกรุง ก๋วยเตี๋ยวไก่มะระ วังหิน,13.8300436,100.59189699999999,Noodles,Lat Phrao,4.3,318,฿,"970 Thanon Lat Phrao Wanghin, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJMf5-Gwyd4jAR-hzQUNK4qw8
ร้านตะ-หลอด ก๋วยเตี๋ยวหลอดทรงเครื่อง สูตรโบราณ,13.9406933,100.61039459999999,Noodles,Don Mueang,4.7,206,฿,"22, 169 Soi Vibhavadirangsit 35, Khwaeng Sanambin, Khet Don Mueang, Krung Thep Maha Nakhon 10210, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJxXXE2DWD4jAR0P1XCg6ffK0
ก๋วยเตี๋ยวเรือป้ามณ,13.797000599999999,100.6691989,Noodles,Bangkok,4.5,208,฿,"4/877 ซ. 65 Khwaeng Khlong Kum, Khet Bueng Kum, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjdLGC8pjHTERARZm0_GD_Vc
Honaji Ramen เซ็นทรัล พระราม 9,13.758443600000001,100.5658577,Ramen,Suan Luang,4.4,175,฿,"135 Rama IX Rd, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10310, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJLUSieuif4jAR0zJ2mg2vJDs
ร้านเย็นตาโฟ สิงโตคืนชีพ,13.8200407,100.7375106,Noodles,Minburi,4.4,172,฿,"RPCQ+226, Min Buri, Bangkok 10510, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJl9pA0_VkHTERlFVGHNwwpvY
ครัวแต้จิ๋ว - คั่วไก่ ข้าวผัดปู หอยจ๊อปู ออส่วน โกยซีหมี่,13.857189799999999,100.6439321,Noodles,Sukhumvit,4.3,175,฿฿,"ตลาด, 88 Thanon Vacharaphol, Khwaeng Tha Raeng, Khet Bang Khen, Krung Thep Maha Nakhon 10230, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJOfFoVUmD4jARudL_PFetLRE
ก๋วยเตี๋ยวเป็ด ซอยคอนแวนต์,13.7251771,100.5328712,Noodles,Silom,4.5,50,฿,"142 Soi Sathon 6, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJKYL0mC2f4jARxKM-NBEDXjg
